ID	Field =001	Aleph System ID (HRID)	Field =035 / OCLC	Title	Notes																																										
130	ocm64748203 	112116	64748203 	The art of glass : Toledo Museum of Art / Jutta-Annette Page [curator] ; foreword by Don Bacigalupi ; essays by Stefano Carboni ... [et al.].																																											
131	ocn137335130 	112132	137335130 	Calder : gouaches 1942-1976.																																											
132	ocm64098193 	112150	64098193 	Lines of discovery : 225 years of American drawings / The Columbus Museum ; Philip L. Brewer, commentary ; Charles T. Butler, general editor ; Theodore E. Stebbins, Jr., introduction ; Bruce W. Chambers, Marilyn Laufer, Stephen C. Wicks, principal essayists.																																											
133	ocm67840020 	112162	67840020 	Eyemazing.																																											
134	ocm44003755 	112230	44003755 	Journal of the Iris & B. Gerald Cantor Center for Visual Arts at Stanford University.																																											
135	ocm43270209 	112296	43270209 	Churches of Ethiopia : the Monastery of Narga Sellase / Mario Di Salvo ; with texts by Stanislaw Chojnacki, Osvaldo Raineri ; [translations, Nicholas Holland Brendan, Maria Luisa Sala].																																											
136	ocm25497394 	112297	25497394 	The icon / Kurt Weitzmann ... [et al.].																																											
137	ocm75455461 	112335	75455461 	Classic English design and antiques : period styles and furniture : the Hyde Park Antiques collection / Emily Eerdmans ; foreword by Mario Buatta ; introduction by Rachel Karr.																																											
138	ocm60845802 	112350	60845802 	Gay Pride : history / Oliviero Toscani ; [preface, Jack Lang ; text and research, Amandine Desmaison ; translation, Lakshmi Iyer, John Tuttle].																																				141							
139	ocm50214684 	112478	50214684 	George Romney 1734-1802 / Alex Kidson.																																											
140	ocm74889347 	112562	74889347 	Bosch / Larry Silver ; traduit de l'americain par Sylvie Barjansky ... [et al.].																																											
141	ocm84685761 	112580	84685761 	Equipo Cronica en la colleccion IVAM : Museo Nacional de Artes Visuales, Montevideo, Marzo-Abril 2005 / exposicion coproducida por SEACEX, Sociedad Estatal para la Accion Cultural Exterior y el IVAM Institut Valencia d'Art Modern.																																											
