Sierra Code	FOLIO Code	Library Code	Primary Service Point	Other Service Points	Description (optional)	Discovery Display Name (optional)	Is Active (default: yes)
9rrcc	CU/B/INN/9rrcc						
9sgcl	CU/B/INN/9sgcl						
9uccp	CU/B/INN/9uccp						
9uncp	CU/B/INN/9uncp						
9usaf	CU/B/INN/9usaf						
9uwyp	CU/B/INN/9uwyp						
mus	CU/B/MUS/mus						
musao	CU/B/MUS/MUSCSOV						
musmn	CU/B/MUS/MUSMIN						
musov	CU/B/MUS/MUSOV						
musrd	CU/B/MUS/MUSREF						
mus	CU/B/MUS/MUSS						
arvam	CU/B/NOR/ARCHARMC						
arvbr	CU/B/NOR/ARCHBRAK						
arvhc	CU/B/NOR/ARCHHIS						
arvmz	CU/B/NOR/ARCHMAZA						
arvm1	CU/B/NOR/ARCHMAZAOV						
arvov	CU/B/NOR/ARCHOV						
arvrc	CU/B/NOR/ARCHRECC						
arvrf	CU/B/NOR/ARCHREF						
arvup	CU/B/NOR/ARCHUP						
art	CU/B/NOR/art						
artov	CU/B/NOR/ARTOV						
artrf	CU/B/NOR/ARTREF						
artst	CU/B/NOR/ARTS						
arv	CU/B/NOR/arv						
asnst	CU/B/NOR/ASIA						
asnov	CU/B/NOR/ASIAOV						
asnrf	CU/B/NOR/ASIAREF						
asnro	CU/B/NOR/ASIAREFOV						
asnrs	CU/B/NOR/ASIAREFSER						
asn	CU/B/NOR/asn						
govco	CU/B/NOR/BGOVCO						
govfd	CU/B/NOR/BGOVFO						
govon	CU/B/NOR/BGOVOV						
govsa	CU/B/NOR/BGOVSA						
govnb	CU/B/NOR/BGOVUS						
busmf	CU/B/NOR/BRES						
cdeof	CU/B/NOR/CDOF						
cya	CU/B/NOR/cya						
gov	CU/B/NOR/gov						
govgr	CU/B/NOR/GOVIG						
govin	CU/B/NOR/GOVII						
govmc	CU/B/NOR/GOVIM						
govrf	CU/B/NOR/GOVIREF						
govun	CU/B/NOR/GOVIUN						
govmg	CU/B/NOR/GOVMG						
govov	CU/B/NOR/GOVOV						
govoi	CU/B/NOR/GOVOVI						
govus	CU/B/NOR/GOVUS						
juv	CU/B/NOR/juv						
med	CU/B/NOR/med						
nor	CU/B/NOR/nor						
cyast	CU/B/NOR/NORCYA						
nordc	CU/B/NOR/NORDC						
nordv	CU/B/NOR/NORDVD						
norfc	CU/B/NOR/NORFSC						
norca	CU/B/NOR/NORGSC						
nornc	CU/B/NOR/NORNUC						
norov	CU/B/NOR/NOROV						
perov	CU/B/NOR/NORPEROV						
perst	CU/B/NOR/NORPERSTA						
popbr	CU/B/NOR/NORPOP						
nordr	CU/B/NOR/NORRAD						
refat	CU/B/NOR/NORREFA						
refsc	CU/B/NOR/NORREFC						
refhr	CU/B/NOR/NORREFHRAF						
refmc	CU/B/NOR/NORREFMF						
refmg	CU/B/NOR/NORREFMG						
refov	CU/B/NOR/NORREFOV						
refst	CU/B/NOR/NORREFS						
norst	CU/B/NOR/NORS						
scist	CU/B/NOR/NORSCI 						
sciov	CU/B/NOR/NORSCIOV						
per	CU/B/NOR/per						
spc	CU/B/NOR/rbc						
spcax	CU/B/NOR/RBCANN						
spcba	CU/B/NOR/RBCB						
spcbk	CU/B/NOR/RBCBA						
spcbo	CU/B/NOR/RBCBAOV1						
spcbv	CU/B/NOR/RBCBAOV2						
spcb1	CU/B/NOR/RBCBOV1						
spcb2	CU/B/NOR/RBCBOV2						
spcch	CU/B/NOR/RBCCC						
spccr	CU/B/NOR/RBCCMR						
spcce	CU/B/NOR/RBCCR						
spcco	CU/B/NOR/RBCCROV1						
spcc2	CU/B/NOR/RBCCROV2						
spcde	CU/B/NOR/RBCDP						
spcha	CU/B/NOR/RBCHA						
spcwo	CU/B/NOR/RBCIWCOV						
spcwv	CU/B/NOR/RBCIWCVB						
spcwf	CU/B/NOR/RBCIWV						
spclp	CU/B/NOR/RBCLP						
spcl1	CU/B/NOR/RBCLPOV1						
spcl2	CU/B/NOR/RBCLPOV2						
spcm1	CU/B/NOR/RBCM1						
spcm2	CU/B/NOR/RBCM2						
spcnl	CU/B/NOR/RBCNL						
spcno	CU/B/NOR/RBCNLOV						
spco1	CU/B/NOR/RBCOV1						
spco2	CU/B/NOR/RBCOV2						
spcpl	CU/B/NOR/RBCPL						
spcpo	CU/B/NOR/RBCPLOV						
spcph	CU/B/NOR/RBCPP						
spcrl	CU/B/NOR/RBCRC						
spcsc	CU/B/NOR/RBCSCB						
spcso	CU/B/NOR/RBCSCBOV1						
ref	CU/B/NOR/ref						
asnrc	CU/B/NOR/REFEAC						
tec	CU/B/NOR/tec						
tecaq	CU/B/NOR/TSACQ						
tecca	CU/B/NOR/TSCAT						
tecpr	CU/B/NOR/TSPRES						
tecse	CU/B/NOR/TSS						
pascu	CU/B/OFF/PASCAL						
